date,description,amount,category
01-04-2024,Monthly Salary,50000,Income
02-04-2024,Swiggy Food Order,450,Food
03-04-2024,Amazon Shopping,1200,Shopping
05-04-2024,Electricity Bill Payment,2000,Utilities
06-04-2024,Freelance Project Payment,8000,Income
07-04-2024,Uber Trip,300,Transport
08-04-2024,Zomato Order,600,Food
10-04-2024,Netflix Subscription Fee,499,Entertainment
11-04-2024,Cash Withdrawal,5000,Other
12-04-2024,Performance Bonus,10000,Income
13-04-2024,Grocery Purchase,1500,Food
14-04-2024,Swiggy Dinner,350,Food
15-04-2024,Amazon Electronics,2200,Shopping
16-04-2024,Unknown Expense,700,Other
