date,narration,amount,type
2024-04-01,Salary Credit,50000,credit
2024-04-02,Swiggy Order,450,debit
2024-04-03,Amazon Purchase,1200,debit
2024-04-05,Electricity Bill,2000,debit
2024-04-06,Freelance Payment,8000,credit
2024-04-07,Uber Ride,300,debit
2024-04-08,Zomato Food,600,debit
2024-04-10,Netflix Subscription,499,debit
2024-04-11,ATM Withdrawal,5000,debit
2024-04-12,Bonus Credit,10000,credit
2024-04-13,Grocery Store,1500,debit
2024-04-14,Swiggy Order,350,debit
2024-04-15,Amazon Purchase,2200,debit
